school_number,date,url
5147,2018-12-06,https://www.ero.govt.nz/review-reports/insoll-kindergarten-06-12-2018/
5147,2014-08-13,https://www.ero.govt.nz/review-reports/insoll-kindergarten-13-08-2014/
5148,2014-08-13,https://www.ero.govt.nz/review-reports/james-gray-kindergarten-13-08-2014/
5148,2018-12-21,https://www.ero.govt.nz/review-reports/james-gray-kindergarten-21-12-2018/
5149,2014-11-06,https://www.ero.govt.nz/review-reports/jamieson-kindergarten-06-11-2014/
5149,2018-01-22,https://www.ero.govt.nz/review-reports/jamieson-kindergarten-22-01-2018/
5150,2017-10-06,https://www.ero.govt.nz/review-reports/leamington-kindergarten-06-10-2017/
5150,2014-08-13,https://www.ero.govt.nz/review-reports/leamington-kindergarten-13-08-2014/
5151,2014-08-13,https://www.ero.govt.nz/review-reports/melville-kindergarten-13-08-2014/
5151,2018-12-20,https://www.ero.govt.nz/review-reports/melville-kindergarten-20-12-2018/
5152,2014-11-05,https://www.ero.govt.nz/review-reports/miropiko-kindergarten-05-11-2014/
5152,2018-12-20,https://www.ero.govt.nz/review-reports/miropiko-kindergarten-20-12-2018/
5153,2014-08-13,https://www.ero.govt.nz/review-reports/newcastle-kindergarten-13-08-2014/
5153,2018-12-20,https://www.ero.govt.nz/review-reports/newcastle-kindergarten-20-12-2018/
5154,2014-08-13,https://www.ero.govt.nz/review-reports/peachgrove-kindergarten-13-08-2014/
5154,2018-12-21,https://www.ero.govt.nz/review-reports/peachgrove-kindergarten-21-12-2018/
5155,2015-02-03,https://www.ero.govt.nz/review-reports/pukete-kindergarten-03-02-2015/
5155,2018-12-20,https://www.ero.govt.nz/review-reports/pukete-kindergarten-20-12-2018/
